 name  subgroup  row  col  crate  neighbor_crate
 G780         3    5   24      6              -1
 G781         4    4    1      0              -1
 G782         4    4    2      0              -1
 G783         4    4    3      0              -1
 G784         4    4    4      0              -1
 G785         4    4    5      0              -1
 G786         4    4    6      0               1
 G787         3    4    1      1               0
 G788         3    4    2      1              -1
 G789         3    4    3      1              -1
 G790         3    4    4      1               2
 G791         3    4    5      2               1
 G792         3    4    6      2              -1
 G793         3    4    7      2              -1
 G794         3    4    8      2               3
 G795         3    4    9      3               2
 G796         3    4   10      3              -1
 G797         3    4   11      3               4
 G798         3    4   12      4               3
 G799         3    4   13      4              -1
 G800         3    4   14      4              -1
 G801         3    4   15      4               5
 G802         3    4   16      5               4
 G803         3    4   17      5              -1
 G804         3    4   18      5              -1
 G805         3    4   19      5               6
 G806         3    4   20      6               5
 G807         3    4   21      6              -1
 G808         3    4   22      6              -1
 G809         3    4   23      6              -1
 G810         3    4   24      6              -1
 G811         4    3    1      0              -1
 G812         4    3    2      0              -1
 G813         4    3    3      0              -1
 G814         4    3    4      0              -1
 G815         4    3    5      0              -1
 G816         4    3    6      0               1
 G817         3    3    1      1               0
 G818         3    3    2      1              -1
 G819         3    3    3      1              -1
 G820         3    3    4      1               2
 G821         3    3    5      2               1
 G822         3    3    6      2              -1
 G823         3    3    7      2              -1
 G824         3    3    8      2               3
 G825         3    3    9      3               2
 G826         3    3   10      3              -1
 G827         3    3   11      3               4
 G828         3    3   12      4               3
 G829         3    3   13      4              -1
 G830         3    3   14      4              -1
 G831         3    3   15      4               5
 G832         3    3   16      5               4
 G833         3    3   17      5              -1
 G834         3    3   18      5              -1
 G835         3    3   19      5               6
 G836         3    3   20      6               5
 G837         3    3   21      6              -1
 G838         3    3   22      6              -1
 G839         3    3   23      6              -1
 G840         3    3   24      6              -1
 G841         4    2    1      0              -1
 G842         4    2    2      0              -1
 G843         4    2    3      0              -1
 G844         4    2    4      0              -1
 G845         4    2    5      0              -1
 G846         4    2    6      0               1
 G847         3    2    1      1               0
 G848         3    2    2      1              -1
 G849         3    2    3      1              -1
 G850         3    2    4      1               2
 G851         3    2    5      2               1
 G852         3    2    6      2              -1
 G853         3    2    7      2              -1
 G854         3    2    8      2               3
 G855         3    2    9      3               2
 G856         3    2   10      3              -1
 G857         3    2   11      3               4
 G858         3    2   12      4               3
 G859         3    2   13      4              -1
 G860         3    2   14      4              -1
 G861         3    2   15      4               5
 G862         3    2   16      5               4
 G863         3    2   17      5              -1
 G864         3    2   18      5              -1
 G865         3    2   19      5               6
 G866         3    2   20      6               5
 G867         3    2   21      6              -1
 G868         3    2   22      6              -1
 G869         3    2   23      6              -1
 G870         3    2   24      6              -1
 G871         4    1    1      0              -1
 G872         4    1    2      0              -1
 G873         4    1    3      0              -1
 G874         4    1    4      0              -1
 G875         4    1    5      0              -1
 G876         4    1    6      0               1
 G877         3    1    1      1               0
 G878         3    1    2      1              -1
 G879         3    1    3      1              -1
 G880         3    1    4      1               2
 G881         3    1    5      2               1
 G882         3    1    6      2              -1
 G883         3    1    7      2              -1
 G884         3    1    8      2               3
 G885         3    1    9      3               2
 G886         3    1   10      3              -1
 G887         3    1   11      3               4
 G888         3    1   12      4               3
 G889         3    1   13      4              -1
 G890         3    1   14      4              -1
 G891         3    1   15      4               5
 G892         3    1   16      5               4
 G893         3    1   17      5              -1
 G894         3    1   18      5              -1
 G895         3    1   19      5               6
 G896         3    1   20      6               5
 G897         3    1   21      6              -1
 G898         3    1   22      6              -1
 G899         3    1   23      6              -1
 G900         3    1   24      6              -1
   W1         0   34    1      0               1
   W2         0   34    2      0               1
   W3         0   34    3      1               0
   W4         0   34    4      1              -1
   W5         0   34    5      1              -1
   W6         0   34    6      1              -1
   W7         0   34    7      1               2
   W8         0   34    8      1               2
   W9         0   34    9      2               1
  W10         0   34   10      2              -1
  W11         0   34   11      2              -1
  W12         0   34   12      2              -1
  W13         0   34   13      2              -1
  W14         0   34   14      2               3
  W15         0   34   15      3               2
  W16         0   34   16      3              -1
  W17         0   34   17      3              -1
  W18         0   34   18      3              -1
  W19         0   34   19      3               4
  W20         0   34   20      3               4
  W21         0   34   21      4               3
  W22         0   34   22      4              -1
  W23         0   34   23      4              -1
  W24         0   34   24      4              -1
  W25         0   34   25      4              -1
  W26         0   34   26      4               5
  W27         0   34   27      5               4
  W28         0   34   28      5               4
  W29         0   34   29      5              -1
  W30         0   34   30      5              -1
  W31         0   34   31      5              -1
  W32         0   34   32      5               6
  W33         0   34   33      6               5
  W34         0   34   34      6               5
  W35         0   33    1      0              -1
  W36         0   33    2      0               1
  W37         0   33    3      1               0
  W38         0   33    4      1              -1
  W39         0   33    5      1              -1
  W40         0   33    6      1              -1
  W41         0   33    7      1              -1
  W42         0   33    8      1               2
  W43         0   33    9      2               1
  W44         0   33   10      2              -1
  W45         0   33   11      2              -1
  W46         0   33   12      2              -1
  W47         0   33   13      2              -1
  W48         0   33   14      2               3
  W49         0   33   15      3               2
  W50         0   33   16      3              -1
  W51         0   33   17      3              -1
  W52         0   33   18      3              -1
