 name  crate  slot  channel  VPCB.board  VPCB.connector  cable.board  sub.label  group.label  cable.number  pin.number  link_to_crate  link_slot  link_channel
 G634      0    14        7          10             130         10.0        4.0          0.0          25.0         8.0             -1         -1            -1
 G633      0    14        8          10             129         10.0        4.0          0.0          26.0         7.0             -1         -1            -1
 G632      0    14        9          10             128         10.0        4.0          0.0          27.0         6.0             -1         -1            -1
 G426      0    14       10          10              90         10.0        5.0          0.0           1.0        32.0             -1         -1            -1
 G425      0    14       11          10              89         10.0        5.0          0.0           2.0        31.0             -1         -1            -1
 G424      0    14       12          10              88         10.0        5.0          0.0           3.0        30.0             -1         -1            -1
 G423      0    14       13          10              87         10.0        5.0          0.0           4.0        29.0             -1         -1            -1
 G422      0    14       14          10              86         10.0        5.0          0.0           5.0        28.0             -1         -1            -1
 G421      0    14       15          10              85         10.0        5.0          0.0           6.0        27.0             -1         -1            -1
 G396      0    15        0          10              84         10.0        5.0          0.0           7.0        26.0             -1         -1            -1
 G395      0    15        1          10              83         10.0        5.0          0.0           8.0        25.0             -1         -1            -1
 G394      0    15        2          10              82         10.0        5.0          0.0           9.0        24.0             -1         -1            -1
 G393      0    15        3          10              81         10.0        5.0          0.0          10.0        23.0             -1         -1            -1
 G392      0    15        4          10              80         10.0        5.0          0.0          11.0        22.0             -1         -1            -1
 G391      0    15        5          10              79         10.0        5.0          0.0          12.0        21.0             -1         -1            -1
 G366      0    15        6          10              78         10.0        5.0          0.0          13.0        20.0             -1         -1            -1
 G365      0    15        7          10              77         10.0        5.0          0.0          14.0        19.0             -1         -1            -1
 G364      0    15        8          10              76         10.0        5.0          0.0          15.0        18.0             -1         -1            -1
 G363      0    15        9          10              75         10.0        5.0          0.0          16.0        17.0             -1         -1            -1
 G362      0    15       10          10              74         10.0        5.0          0.0          17.0        16.0             -1         -1            -1
 G361      0    15       11          10              73         10.0        5.0          0.0          18.0        15.0             -1         -1            -1
 G336      0    15       12          10              72         10.0        5.0          0.0          19.0        14.0             -1         -1            -1
 G335      0    15       13          10              71         10.0        5.0          0.0          20.0        13.0             -1         -1            -1
 G334      0    15       14          10              70         10.0        5.0          0.0          21.0        12.0             -1         -1            -1
 G333      0    15       15          10              69         10.0        5.0          0.0          22.0        11.0             -1         -1            -1
 G332      0    16        0          10              68         10.0        5.0          0.0          23.0        10.0             -1         -1            -1
 G331      0    16        1          10              67         10.0        5.0          0.0          24.0         9.0             -1         -1            -1
 G306      0    16        2          10              66         10.0        5.0          0.0          25.0         8.0             -1         -1            -1
 G305      0    16        3          10              65         10.0        5.0          0.0          26.0         7.0             -1         -1            -1
 G304      0    16        4          10              64         10.0        5.0          0.0          27.0         6.0             -1         -1            -1
 G303      0    16        5          10              63         10.0        5.0          0.0          28.0         5.0             -1         -1            -1
 G302      0    16        6          10              62         10.0        5.0          0.0          29.0         4.0             -1         -1            -1
 G301      0    16        7          10              61         10.0        5.0          0.0          30.0         3.0             -1         -1            -1
 G276      0    16        8          10              60         10.0        5.0          0.0          31.0         2.0             -1         -1            -1
 G275      0    16        9          10              59         10.0        5.0          0.0          32.0         1.0             -1         -1            -1
 G602      0    16       10          10             122         10.0        2.0          0.0           1.0        32.0             -1         -1            -1
 G601      0    16       11          10             121         10.0        2.0          0.0           2.0        31.0             -1         -1            -1
 G576      0    16       12          10             120         10.0        2.0          0.0           3.0        30.0             -1         -1            -1
 G575      0    16       13          10             119         10.0        2.0          0.0           4.0        29.0             -1         -1            -1
 G574      0    16       14          10             118         10.0        2.0          0.0           5.0        28.0             -1         -1            -1
 G573      0    16       15          10             117         10.0        2.0          0.0           6.0        27.0             -1         -1            -1
 G572      0    17        0          10             116         10.0        2.0          0.0           7.0        26.0             -1         -1            -1
 G571      0    17        1          10             115         10.0        2.0          0.0           8.0        25.0             -1         -1            -1
 G546      0    17        2          10             114         10.0        2.0          0.0           9.0        24.0             -1         -1            -1
 G545      0    17        3          10             113         10.0        2.0          0.0          10.0        23.0             -1         -1            -1
 G544      0    17        4          10             112         10.0        2.0          0.0          11.0        22.0             -1         -1            -1
 G543      0    17        5          10             111         10.0        2.0          0.0          12.0        21.0             -1         -1            -1
 G542      0    17        6          10             110         10.0        2.0          0.0          13.0        20.0             -1         -1            -1
 G541      0    17        7          10             109         10.0        2.0          0.0          14.0        19.0             -1         -1            -1
 G516      0    17        8          10             108         10.0        2.0          0.0          15.0        18.0             -1         -1            -1
 G515      0    17        9          10             107         10.0        2.0          0.0          16.0        17.0             -1         -1            -1
 G514      0    17       10          10             106         10.0        2.0          0.0          17.0        16.0             -1         -1            -1
 G513      0    17       11          10             105         10.0        2.0          0.0          18.0        15.0             -1         -1            -1
 G512      0    17       12          10             104         10.0        2.0          0.0          19.0        14.0             -1         -1            -1
 G511      0    17       13          10             103         10.0        2.0          0.0          20.0        13.0             -1         -1            -1
 G486      0    17       14          10             102         10.0        2.0          0.0          21.0        12.0             -1         -1            -1
 G485      0    17       15          10             101         10.0        2.0          0.0          22.0        11.0             -1         -1            -1
 G484      0    18        0          10             100         10.0        2.0          0.0          23.0        10.0             -1         -1            -1
 G483      0    18        1          10              99         10.0        2.0          0.0          24.0         9.0             -1         -1            -1
 G482      0    18        2          10              98         10.0        2.0          0.0          25.0         8.0             -1         -1            -1
 G481      0    18        3          10              97         10.0        2.0          0.0          26.0         7.0             -1         -1            -1
 G456      0    18        4          10              96         10.0        2.0          0.0          27.0         6.0             -1         -1            -1
 G455      0    18        5          10              95         10.0        2.0          0.0          28.0         5.0             -1         -1            -1
 G454      0    18        6          10              94         10.0        2.0          0.0          29.0         4.0             -1         -1            -1
 G453      0    18        7          10              93         10.0        2.0          0.0          30.0         3.0             -1         -1            -1
 G452      0    18        8          10              92         10.0        2.0          0.0          31.0         2.0             -1         -1            -1
 G451      0    18        9          10              91         10.0        2.0          0.0          32.0         1.0             -1         -1            -1
 W817      0    19        0           9             118          9.0        2.0          0.0           3.0        30.0             -1         -1            -1
 W818      0    19        1           9             119          9.0        2.0          0.0           4.0        29.0              1          0            25
 W783      0    19        2           9             112          9.0        2.0          0.0           9.0        24.0             -1         -1            -1
 W784      0    19        3           9             113          9.0        2.0          0.0          10.0        23.0              1          0            24
 W749      0    19        4           9             106          9.0        2.0          0.0          15.0        18.0             -1         -1            -1
 W750      0    19        5           9             107          9.0        2.0          0.0          16.0        17.0              1          0            23
 W716      0    19        6           9             104          9.0        2.0          0.0          17.0        16.0              1          0            22
 W715      0    19        7           9             103          9.0        2.0          0.0          20.0        13.0             -1         -1            -1
 W681      0    19        8           9             100          9.0        2.0          0.0          21.0        12.0             -1         -1            -1
 W682      0    19        9           9             101          9.0        2.0          0.0          22.0        11.0              1          0            21
 W648      0    19       10           9              98          9.0        2.0          0.0          23.0        10.0              1          0            20
 W647      0    19       11           9              97          9.0        2.0          0.0          26.0         7.0             -1         -1            -1
 W613      0    19       12           9              94          9.0        2.0          0.0          27.0         6.0             -1         -1            -1
 W614      0    19       13           9              95          9.0        2.0          0.0          28.0         5.0              1          0            19
 W580      0    19       14           9              92          9.0        2.0          0.0          29.0         4.0              1          0            18
 W579      0    19       15           9              91          9.0        2.0          0.0          32.0         1.0             -1         -1            -1
 W851      0    20        0           9             124          9.0        4.0          0.0           2.0         4.0             -1         -1            -1
 W852      0    20        1           9             125          9.0        4.0          0.0           3.0         3.0              1          0            26
 W987      0    20        2           9             145          9.0        4.0          0.0          10.0        23.0             -1         -1            -1
 W953      0    20        3           9             142          9.0        4.0          0.0          11.0        22.0             -1         -1            -1
